"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.691474550E0,-6.585817039E-2,-4.198005423E-2,-5.074892044E-1,5.134636464E-1
1.701486945E0,-5.368161947E-2,-1.575719379E-2,-9.456281662E-1,9.472817079E-1
1.711464802E0,-6.808935106E-2,2.967512608E-2,-9.408397675E-1,9.437670480E-1
1.721476428E0,-7.944169641E-2,6.373782456E-2,-5.984697342E-1,6.070745557E-1
1.731483516E0,-5.760283768E-2,4.270639271E-3,-7.157859802E-1,7.181127312E-1
1.741493987E0,-4.551362991E-2,2.289800160E-2,-9.959087372E-1,9.972111220E-1
1.751471537E0,-5.237029493E-2,3.256552666E-2,-6.559333801E-1,6.588260472E-1
1.761484162E0,-5.921745300E-2,-1.278145425E-2,-4.380617142E-1,4.422308647E-1
1.771491943E0,-3.502450138E-2,2.984798886E-2,-9.480295181E-1,9.491457135E-1
1.781471877E0,-3.005247377E-2,7.739801705E-2,-1.110836029E0,1.113934598E0
1.791480579E0,-4.656049982E-2,6.765632331E-2,-5.170745850E-1,5.235564770E-1
1.801493129E0,-7.275198400E-2,9.953748435E-3,-6.894588470E-1,6.933580821E-1
1.811469447E0,-8.116479963E-3,-9.648777544E-3,-9.719753265E-1,9.720571030E-1
1.821480303E0,6.263542920E-3,1.664918847E-2,-7.349491119E-1,7.351643521E-1
1.831488930E0,-4.178944230E-2,2.425167710E-3,-6.415748596E-1,6.429389858E-1
1.841470479E0,-1.100696810E-2,-2.180630155E-2,-8.714179993E-1,8.717602868E-1
1.851477566E0,-7.109653205E-2,-2.428558096E-2,-1.053376198E0,1.056052044E0
1.861489270E0,-5.694895610E-2,1.997854561E-4,-6.439657211E-1,6.464789815E-1
1.871466818E0,-5.702948943E-2,-2.595786378E-2,-6.128406525E-1,6.160355823E-1
1.881479675E0,-1.285579503E-1,-5.467176437E-2,-8.905687332E-1,9.014592708E-1
1.891487071E0,-8.952222764E-2,2.494164929E-2,-6.583318710E-1,6.648587576E-1
1.901470158E0,-3.051197156E-3,1.317378134E-3,-4.811611176E-1,4.811725952E-1
1.911476323E0,-5.538654700E-2,-3.481790423E-2,-8.115625381E-1,8.141951298E-1
1.921488334E0,-1.003695726E-1,2.515556663E-2,-8.139581680E-1,8.205088378E-1
1.931463728E0,-3.299212828E-2,2.773728594E-2,-5.170783997E-1,5.188717654E-1
1.941475201E0,-6.398990005E-2,1.098410226E-2,-6.655197144E-1,6.686791817E-1
1.951484980E0,-6.138646230E-2,1.577589661E-3,-9.288816452E-1,9.309091778E-1
1.961465068E0,-2.058982104E-2,2.787832357E-2,-8.857870102E-1,8.864647591E-1
1.971474002E0,-4.946264997E-2,3.719247133E-2,-7.756538391E-1,7.781187003E-1
1.981484782E0,-7.118861377E-2,-3.437045217E-2,-7.995948792E-1,8.034930725E-1
1.991462254E0,-4.964490607E-2,-1.755519025E-2,-8.283252716E-1,8.299973235E-1
2.001472804E0,-8.289706707E-2,4.468605295E-2,-7.421340942E-1,7.480854102E-1
2.011481967E0,-9.453404695E-2,2.104431204E-2,-6.846742630E-1,6.914899822E-1
2.021494902E0,-3.223087639E-2,-4.111410305E-2,-7.110090256E-1,7.129256857E-1
2.031470989E0,-6.775213778E-2,1.126282103E-2,-7.325592041E-1,7.357718334E-1
2.041483307E0,-8.886918426E-2,2.831924334E-2,-6.990413666E-1,7.052365161E-1
2.051491011E0,-4.552666470E-2,-1.446758769E-2,-5.410242081E-1,5.431290657E-1
2.061471251E0,-4.743256420E-2,-9.641090408E-3,-5.338430405E-1,5.360328261E-1
2.071480878E0,-3.520976380E-2,2.121208794E-2,-5.936994553E-1,5.951207636E-1
2.081491889E0,-2.304289490E-2,2.116489410E-2,-5.601806641E-1,5.610537444E-1
